scenario,method,hypothesis_group_id,source,target,edge_class,attempt_count,applicable_attempt_count,supported_attempt_count,contradiction_attempt_count
deffuant,unrestricted_temporal_search,unrestricted,d_micro_repulsion,d_meso_2,supported,2,2,1,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_repulsion,d_meso_3,no_stable_downstream_effect,2,2,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_repulsion,d_micro_assimilation,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_repulsion,d_micro_rewiring,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_repulsion,d_micro_shift,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_macro_1,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_meso_1,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_meso_3,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_micro_assimilation,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_micro_repulsion,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_rewiring,d_micro_shift,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_macro_1,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_meso_1,no_stable_downstream_effect,2,2,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_meso_2,no_stable_downstream_effect,2,2,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_micro_assimilation,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_micro_repulsion,not_applicable,1,0,0,0
deffuant,unrestricted_temporal_search,unrestricted,d_micro_shift,d_micro_rewiring,not_applicable,1,0,0,0
schelling,full_method,macro_outcome_s_macro_0,s_meso_0,s_macro_0,supported,2,2,2,0
schelling,full_method,macro_outcome_s_macro_0,s_micro_satisfaction,s_meso_0,supported,2,2,2,0
schelling,full_method,macro_outcome_s_macro_1,s_meso_1,s_macro_1,no_stable_downstream_effect,2,2,0,0
schelling,full_method,macro_outcome_s_macro_1,s_micro_relocation,s_meso_1,no_stable_downstream_effect,2,2,0,0
schelling,full_method,macro_outcome_s_macro_2,s_meso_1,s_macro_2,not_applicable,1,0,0,0
schelling,full_method,macro_outcome_s_macro_2,s_meso_2,s_macro_2,not_applicable,1,0,0,0
schelling,full_method,macro_outcome_s_macro_2,s_micro_boundary,s_meso_2,not_applicable,1,0,0,0
schelling,full_method,macro_outcome_s_macro_3,s_meso_3,s_macro_3,no_stable_downstream_effect,2,2,0,0
schelling,full_method,macro_outcome_s_macro_3,s_micro_destination_similarity,s_meso_3,no_stable_downstream_effect,2,2,0,0
schelling,single_trajectory,macro_outcome_s_macro_0,s_meso_0,s_macro_0,supported,2,2,2,0
schelling,single_trajectory,macro_outcome_s_macro_1,s_meso_1,s_macro_1,no_stable_downstream_effect,2,2,0,0
schelling,single_trajectory,macro_outcome_s_macro_1,s_micro_relocation,s_meso_1,no_stable_downstream_effect,2,2,0,0
schelling,single_trajectory,macro_outcome_s_macro_1,s_micro_satisfaction,s_meso_1,no_stable_downstream_effect,2,2,0,0
schelling,single_trajectory,macro_outcome_s_macro_2,s_meso_1,s_macro_2,not_applicable,1,0,0,0
schelling,single_trajectory,macro_outcome_s_macro_2,s_meso_2,s_macro_2,not_applicable,1,0,0,0
schelling,single_trajectory,macro_outcome_s_macro_2,s_micro_boundary,s_meso_2,not_applicable,1,0,0,0
schelling,single_trajectory,macro_outcome_s_macro_3,s_meso_3,s_macro_3,no_stable_downstream_effect,2,2,0,0
schelling,single_trajectory,macro_outcome_s_macro_3,s_micro_destination_similarity,s_meso_3,no_stable_downstream_effect,2,2,0,0
schelling,trajectory_vote,macro_outcome_s_macro_0,s_meso_0,s_macro_0,supported,2,2,2,0
schelling,trajectory_vote,macro_outcome_s_macro_1,s_meso_1,s_macro_1,no_stable_downstream_effect,2,2,0,0
schelling,trajectory_vote,macro_outcome_s_macro_2,s_meso_2,s_macro_2,not_applicable,1,0,0,0
schelling,trajectory_vote,macro_outcome_s_macro_3,s_meso_3,s_macro_3,no_stable_downstream_effect,2,2,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_0,s_meso_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_1,s_meso_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_1,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_2,s_micro_boundary,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_2,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_3,s_macro_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_macro_3,s_meso_1,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_0,s_macro_0,supported,2,2,2,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_0,s_macro_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_1,s_macro_0,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_1,s_macro_1,no_stable_downstream_effect,2,2,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_1,s_micro_boundary,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_1,s_micro_relocation,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_2,s_macro_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_2,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_3,s_macro_3,no_stable_downstream_effect,2,2,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_3,s_micro_destination_similarity,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_meso_3,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_boundary,s_macro_0,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_boundary,s_macro_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_boundary,s_meso_2,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_boundary,s_micro_relocation,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_destination_similarity,s_micro_boundary,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_destination_similarity,s_micro_relocation,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_destination_similarity,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_meso_1,no_stable_downstream_effect,2,2,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_micro_boundary,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_micro_destination_similarity,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_relocation,s_micro_satisfaction,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_macro_0,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_micro_boundary,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_micro_destination_similarity,not_applicable,1,0,0,0
schelling,unrestricted_temporal_search,unrestricted,s_micro_satisfaction,s_micro_relocation,not_applicable,1,0,0,0
